Aged,No2,Stores,Room_Avg,House_Value,Distance,Teacher_Ratio,Zone,Accesibility,Crime_Ratio,Tax,River,Lower_Income
65.200,0.547,10.010,5.731,19.300,2.759,17.800,0.000,6.000,0.145,432.000,0.000,13.610
58.100,0.472,2.180,6.616,28.400,3.370,18.400,33.000,7.000,0.055,222.000,0.000,8.930
59.500,0.416,1.380,7.104,33.000,9.223,18.600,17.500,3.000,0.019,216.000,0.000,8.050
15.700,0.415,2.030,7.610,42.300,6.270,14.700,82.500,2.000,0.022,348.000,0.000,3.110
42.100,0.464,6.960,5.856,21.100,4.429,18.600,20.000,3.000,0.299,223.000,0.000,13.000
78.700,0.679,18.100,6.202,10.900,1.863,20.200,0.000,24.000,37.662,666.000,0.000,14.520
96.100,0.524,7.870,6.172,27.100,5.951,15.200,12.500,5.000,0.145,311.000,0.000,19.150
91.400,0.718,18.100,4.963,21.900,1.752,20.200,0.000,24.000,3.697,666.000,0.000,14.000
71.300,0.520,8.560,6.781,26.500,2.856,20.900,0.000,5.000,0.114,384.000,0.000,7.670
85.100,0.550,13.890,6.642,28.700,3.421,16.400,0.000,5.000,0.070,276.000,0.000,9.690
61.800,0.538,8.140,5.949,20.400,4.707,21.000,0.000,4.000,0.630,307.000,0.000,8.260
91.700,0.538,8.140,6.142,15.200,3.977,21.000,0.000,4.000,1.232,307.000,0.000,18.720
88.000,0.770,18.100,6.398,25.000,2.518,20.200,0.000,24.000,4.542,666.000,0.000,7.790
66.200,0.453,5.130,5.741,18.700,7.225,19.700,25.000,8.000,0.149,284.000,0.000,13.150
17.700,0.433,6.090,6.982,33.100,5.492,16.100,34.000,7.000,0.100,329.000,0.000,4.860
73.900,0.489,3.410,6.405,22.000,3.092,17.800,0.000,2.000,0.039,270.000,0.000,8.200
98.200,0.624,21.890,6.335,18.100,2.111,21.200,0.000,4.000,0.558,437.000,0.000,16.960
97.000,0.700,18.100,5.713,15.100,1.926,20.200,0.000,24.000,6.962,666.000,0.000,17.110
91.200,0.700,18.100,4.368,8.800,1.439,20.200,0.000,24.000,20.085,666.000,0.000,30.630
90.800,0.605,19.580,7.489,50.000,1.971,14.700,0.000,5.000,1.463,403.000,0.000,1.730
40.500,0.411,1.320,6.816,31.600,8.325,15.100,100.000,5.000,0.014,256.000,0.000,3.950
10.000,0.400,2.240,7.041,29.000,7.828,14.800,70.000,5.000,0.056,358.000,0.000,4.740
96.700,0.614,18.100,6.185,14.600,2.171,20.200,0.000,24.000,10.233,666.000,0.000,18.030
80.300,0.713,18.100,5.936,13.500,2.779,20.200,0.000,24.000,8.201,666.000,0.000,16.940
91.100,0.770,18.100,6.251,19.900,2.295,20.200,0.000,24.000,3.837,666.000,0.000,14.190
77.700,0.544,9.900,5.705,16.200,3.945,18.400,0.000,4.000,0.254,304.000,0.000,11.500
36.600,0.437,12.830,5.874,20.300,4.502,18.700,0.000,5.000,0.084,398.000,0.000,9.100
32.200,0.460,3.240,6.144,19.800,5.873,16.900,0.000,4.000,0.045,430.000,0.000,9.090
92.100,0.489,10.590,5.960,21.700,3.877,18.600,0.000,4.000,0.175,277.000,1.000,17.270
100.000,0.671,18.100,6.223,10.200,1.386,20.200,0.000,24.000,17.867,666.000,0.000,21.780
100.000,0.679,18.100,6.434,7.200,1.835,20.200,0.000,24.000,18.085,666.000,0.000,29.050
80.800,0.573,11.930,6.030,11.900,2.505,21.000,0.000,1.000,0.047,273.000,0.000,7.880
98.800,0.693,18.100,6.471,13.100,1.726,20.200,0.000,24.000,8.717,666.000,0.000,17.120
97.900,0.671,18.100,7.313,15.000,1.316,20.200,0.000,24.000,19.609,666.000,0.000,13.440
98.100,0.700,18.100,5.277,7.200,1.426,20.200,0.000,24.000,16.812,666.000,0.000,30.810
70.300,0.472,2.180,6.849,28.200,3.183,18.400,33.000,7.000,0.049,222.000,0.000,7.530
7.800,0.428,4.930,6.393,23.700,7.035,16.600,30.000,6.000,0.128,300.000,0.000,5.190
14.700,0.493,7.380,6.431,24.600,5.416,19.600,0.000,5.000,0.192,287.000,0.000,5.080
100.000,0.597,18.100,4.628,17.900,1.554,20.200,0.000,24.000,18.811,666.000,0.000,34.370
91.000,0.573,11.930,6.976,23.900,2.168,21.000,0.000,1.000,0.061,273.000,0.000,5.640
94.300,0.524,7.870,6.377,15.000,6.347,15.200,12.500,5.000,0.225,311.000,0.000,20.450
35.900,0.411,1.690,6.579,24.100,10.710,18.300,60.000,4.000,0.080,411.000,0.000,5.490
98.900,0.693,18.100,5.747,8.500,1.633,20.200,0.000,24.000,7.672,666.000,0.000,19.920
15.800,0.428,2.950,7.024,34.900,5.401,18.300,75.000,3.000,0.034,252.000,0.000,1.980
100.000,0.597,18.100,6.852,27.500,1.465,20.200,0.000,24.000,14.438,666.000,0.000,19.780
73.500,0.585,9.690,5.569,17.500,2.400,19.200,0.000,6.000,0.178,391.000,0.000,15.100
96.000,0.693,18.100,6.405,12.500,1.677,20.200,0.000,24.000,5.872,666.000,0.000,19.370
100.000,0.524,7.870,5.631,16.500,6.082,15.200,12.500,5.000,0.211,311.000,0.000,29.930
23.400,0.411,4.950,6.630,27.900,5.117,19.200,80.000,4.000,0.036,245.000,0.000,4.700
61.500,0.464,6.960,5.920,20.700,3.917,18.600,20.000,3.000,0.091,223.000,1.000,13.650
97.900,0.624,21.890,6.372,23.000,2.327,21.200,0.000,4.000,0.590,437.000,0.000,11.120
79.900,0.520,8.560,6.727,27.500,2.778,20.900,0.000,5.000,0.149,384.000,0.000,9.420
95.300,0.718,18.100,6.006,14.200,1.875,20.200,0.000,24.000,7.023,666.000,0.000,15.700
34.900,0.431,5.860,6.108,24.300,8.056,19.100,22.000,7.000,0.340,330.000,0.000,9.160
9.800,0.489,10.590,5.412,23.700,3.588,18.600,0.000,4.000,0.289,277.000,0.000,29.550
76.500,0.431,5.860,5.593,17.600,7.955,19.100,22.000,7.000,0.206,330.000,0.000,12.500
43.700,0.493,7.380,6.083,22.200,5.416,19.600,0.000,5.000,0.241,287.000,0.000,12.790
93.300,0.671,18.100,6.649,13.900,1.345,20.200,0.000,24.000,15.288,666.000,0.000,23.240
76.700,0.544,9.900,5.972,20.300,3.103,18.400,0.000,4.000,0.349,304.000,0.000,9.970
91.300,0.507,6.200,6.164,21.700,3.048,17.400,0.000,8.000,0.408,307.000,1.000,21.460
93.800,0.871,19.580,5.186,17.800,1.530,14.700,0.000,5.000,2.331,403.000,0.000,28.320
89.800,0.488,2.460,5.604,26.400,2.988,17.800,0.000,3.000,0.083,193.000,0.000,13.980
91.900,0.671,18.100,6.968,10.400,1.416,20.200,0.000,24.000,88.976,666.000,0.000,17.210
53.600,0.488,2.460,7.831,50.000,3.199,17.800,0.000,3.000,0.056,193.000,0.000,4.450
93.300,0.740,18.100,6.461,9.600,2.003,20.200,0.000,24.000,14.421,666.000,0.000,18.050
96.600,0.740,18.100,6.251,12.600,2.198,20.200,0.000,24.000,9.925,666.000,0.000,16.440
42.400,0.489,10.590,6.182,25.000,3.945,18.600,0.000,4.000,0.198,277.000,0.000,9.470
74.300,0.493,7.380,5.708,18.500,4.721,19.600,0.000,5.000,0.284,287.000,0.000,11.740
100.000,0.693,18.100,5.683,5.000,1.425,20.200,0.000,24.000,67.921,666.000,0.000,22.980
52.600,0.575,3.970,7.470,43.500,2.872,13.000,20.000,5.000,0.541,264.000,0.000,3.160
85.400,0.520,8.560,6.405,18.600,2.715,20.900,0.000,5.000,0.229,384.000,0.000,10.630
97.500,0.631,18.100,7.016,50.000,1.202,20.200,0.000,24.000,6.539,666.000,1.000,2.960
19.500,0.413,1.910,5.936,20.600,10.586,22.000,80.000,4.000,0.107,334.000,0.000,5.570
32.200,0.426,4.860,6.302,24.800,5.401,19.000,25.000,4.000,0.037,281.000,0.000,6.720
84.100,0.581,25.650,6.004,20.300,2.197,19.100,0.000,2.000,0.072,188.000,0.000,14.270
94.100,0.538,8.140,5.713,12.700,4.233,21.000,0.000,4.000,1.131,307.000,0.000,22.600
53.200,0.583,18.100,5.905,20.600,3.152,20.200,0.000,24.000,4.836,666.000,0.000,11.450
76.500,0.718,18.100,6.824,8.400,1.794,20.200,0.000,24.000,11.812,666.000,0.000,22.740
61.400,0.499,5.960,5.841,20.000,3.378,19.200,0.000,5.000,0.097,279.000,0.000,11.410
21.500,0.437,3.440,6.951,37.000,6.480,15.200,45.000,5.000,0.091,398.000,0.000,5.100
97.400,0.770,18.100,6.212,17.800,2.122,20.200,0.000,24.000,8.983,666.000,1.000,17.600
32.900,0.447,6.410,6.758,32.400,4.078,17.600,40.000,4.000,0.056,254.000,1.000,3.530
88.000,0.871,19.580,5.012,15.300,1.610,14.700,0.000,5.000,1.127,403.000,1.000,12.120
100.000,0.718,18.100,6.411,16.700,1.859,20.200,0.000,24.000,11.087,666.000,0.000,15.020
38.300,0.404,1.520,7.274,34.600,7.309,12.600,80.000,2.000,0.038,329.000,0.000,6.620
90.400,0.544,9.900,6.023,19.400,2.834,18.400,0.000,4.000,0.262,304.000,0.000,11.720
17.200,0.460,3.240,6.333,22.600,5.215,16.900,0.000,4.000,0.067,430.000,0.000,7.340
96.000,0.624,21.890,5.693,16.200,1.788,21.200,0.000,4.000,0.259,437.000,0.000,17.190
26.300,0.437,3.440,7.178,36.400,6.480,15.200,45.000,5.000,0.087,398.000,0.000,2.870
29.700,0.435,2.010,6.635,24.500,8.344,17.000,80.000,4.000,0.015,280.000,0.000,5.990
78.900,0.469,7.070,6.421,21.600,4.967,17.800,0.000,2.000,0.027,242.000,0.000,9.140
84.000,0.580,18.100,6.167,19.900,3.033,20.200,0.000,24.000,4.349,666.000,0.000,16.290
21.900,0.413,1.910,5.663,18.200,10.586,22.000,80.000,4.000,0.043,334.000,0.000,8.050
92.200,0.488,2.460,7.155,37.900,2.701,17.800,0.000,3.000,0.091,193.000,0.000,4.820
90.800,0.679,18.100,6.782,7.500,1.820,20.200,0.000,24.000,10.834,666.000,0.000,25.790
59.100,0.489,10.590,6.064,24.400,4.239,18.600,0.000,4.000,0.136,277.000,1.000,14.660
98.000,0.609,27.740,5.093,8.100,1.823,20.100,0.000,4.000,0.208,711.000,0.000,29.680
87.300,0.544,9.900,6.567,23.800,3.602,18.400,0.000,4.000,0.369,304.000,0.000,9.280
31.300,0.405,5.320,6.209,23.200,7.317,16.600,52.500,6.000,0.039,293.000,0.000,7.140
56.000,0.550,13.890,5.888,23.300,3.112,16.400,0.000,5.000,0.045,276.000,1.000,13.510
84.100,0.510,4.050,6.416,23.600,2.646,16.600,0.000,5.000,0.092,296.000,0.000,9.040
61.100,0.469,7.070,7.185,34.700,4.967,17.800,0.000,2.000,0.027,242.000,0.000,4.030
33.500,0.426,4.860,6.727,28.000,5.401,19.000,25.000,4.000,0.041,281.000,0.000,5.290
90.700,0.532,18.100,6.229,19.600,3.099,20.200,0.000,24.000,4.038,666.000,0.000,12.870
57.800,0.445,2.890,6.625,28.400,3.495,18.000,0.000,2.000,0.122,276.000,0.000,6.650
20.800,0.400,2.970,7.088,32.200,7.307,15.300,90.000,1.000,0.009,285.000,0.000,7.850
18.500,0.411,1.690,5.884,18.600,10.710,18.300,60.000,4.000,0.072,411.000,0.000,7.790
74.400,0.510,4.050,6.860,29.900,2.915,16.600,0.000,5.000,0.066,296.000,0.000,6.920
6.600,0.448,6.910,6.169,25.300,5.721,17.900,0.000,3.000,0.142,233.000,0.000,5.810
100.000,0.871,19.580,5.404,19.600,1.592,14.700,0.000,5.000,1.496,403.000,0.000,13.280
47.200,0.510,4.050,6.020,23.200,3.555,16.600,0.000,5.000,0.070,296.000,0.000,10.110
71.700,0.544,9.900,5.782,19.800,4.032,18.400,0.000,4.000,0.245,304.000,0.000,15.940
81.700,0.538,8.140,5.990,17.500,4.258,21.000,0.000,4.000,0.784,307.000,0.000,14.670
59.600,0.515,5.190,5.895,18.500,5.615,20.200,0.000,5.000,0.031,224.000,0.000,10.560
77.700,0.507,6.200,6.879,27.500,3.272,17.400,0.000,8.000,0.623,307.000,1.000,9.930
93.000,0.605,19.580,6.101,25.000,2.283,14.700,0.000,5.000,2.924,403.000,0.000,9.810
88.600,0.489,10.590,5.404,19.300,3.665,18.600,0.000,4.000,0.376,277.000,1.000,23.980
98.900,0.700,18.100,5.390,11.500,1.728,20.200,0.000,24.000,8.152,666.000,0.000,20.850
84.500,0.538,8.140,6.096,18.200,4.462,21.000,0.000,4.000,0.638,307.000,0.000,10.260
82.500,0.700,18.100,6.051,23.200,2.168,20.200,0.000,24.000,5.293,666.000,0.000,18.760
98.200,0.624,21.890,5.857,13.300,1.669,21.200,0.000,4.000,0.250,437.000,0.000,21.320
100.000,0.624,21.890,5.019,14.400,1.439,21.200,0.000,4.000,1.629,437.000,0.000,34.410
100.000,0.740,18.100,6.219,18.400,2.005,20.200,0.000,24.000,5.666,666.000,0.000,16.590
94.100,0.713,18.100,6.728,14.900,2.496,20.200,0.000,24.000,9.514,666.000,0.000,18.710
100.000,0.647,3.970,6.842,30.100,2.011,13.000,20.000,5.000,0.657,264.000,0.000,6.900
93.400,0.453,5.130,5.966,16.000,6.819,19.700,25.000,8.000,0.172,284.000,0.000,14.440
19.100,0.392,3.640,5.876,20.900,9.220,16.400,80.000,1.000,0.035,315.000,0.000,9.250
89.600,0.668,18.100,5.875,50.000,1.130,20.200,0.000,24.000,8.267,666.000,1.000,8.880
47.600,0.410,4.000,5.888,18.900,7.320,21.100,75.000,3.000,0.014,469.000,0.000,14.800
69.700,0.581,25.650,5.870,22.000,2.258,19.100,0.000,2.000,0.069,188.000,0.000,14.370
51.000,0.437,13.920,6.549,27.100,5.960,16.000,0.000,4.000,0.054,289.000,0.000,7.390
100.000,0.700,18.100,4.652,10.500,1.467,20.200,0.000,24.000,24.394,666.000,0.000,28.280
98.900,0.624,21.890,6.458,19.200,2.119,21.200,0.000,4.000,0.340,437.000,0.000,12.600
95.200,0.605,19.580,6.402,22.300,2.262,14.700,0.000,5.000,2.450,403.000,0.000,11.320
33.100,0.510,4.050,6.546,29.400,3.132,16.600,0.000,5.000,0.067,296.000,0.000,5.330
74.800,0.584,18.100,6.425,16.100,2.201,20.200,0.000,24.000,6.444,666.000,0.000,12.030
22.300,0.489,10.590,5.891,22.600,3.946,18.600,0.000,4.000,0.136,277.000,0.000,10.870
31.900,0.416,2.680,8.034,50.000,5.118,14.700,95.000,4.000,0.020,224.000,0.000,2.880
33.000,0.409,6.070,5.885,20.900,6.498,18.900,12.500,4.000,0.128,345.000,0.000,8.790
42.300,0.437,13.920,6.009,21.700,5.503,16.000,0.000,4.000,0.082,289.000,0.000,10.400
17.500,0.431,5.860,6.718,26.200,7.826,19.100,22.000,7.000,0.191,330.000,0.000,6.560
17.800,0.398,3.370,6.290,23.500,6.612,16.100,80.000,4.000,0.036,337.000,0.000,4.670
46.700,0.426,4.860,6.167,22.900,5.401,19.000,25.000,4.000,0.035,281.000,0.000,7.510
49.300,0.442,1.520,7.241,32.700,7.038,15.500,35.000,1.000,0.013,284.000,0.000,5.490
94.400,0.538,8.140,6.495,18.400,4.455,21.000,0.000,4.000,0.773,307.000,0.000,12.800
45.100,0.449,4.490,6.015,22.500,4.427,18.500,0.000,3.000,0.052,247.000,0.000,12.860
28.800,0.585,9.690,5.670,23.100,2.799,19.200,0.000,6.000,0.179,391.000,0.000,17.600
83.500,0.609,27.740,5.983,20.100,2.110,20.100,0.000,4.000,0.111,711.000,0.000,13.350
68.200,0.499,5.960,5.933,18.900,3.360,19.200,0.000,5.000,0.064,279.000,0.000,9.680
82.000,0.538,8.140,5.950,13.200,3.990,21.000,0.000,4.000,1.388,307.000,0.000,27.710
100.000,0.693,18.100,5.987,5.600,1.589,20.200,0.000,24.000,25.046,666.000,0.000,26.770
96.200,0.671,18.100,6.380,13.100,1.386,20.200,0.000,24.000,23.648,666.000,0.000,23.690
78.300,0.504,6.200,8.266,44.800,2.895,17.400,0.000,8.000,0.315,307.000,0.000,4.140
21.900,0.403,1.220,7.249,35.400,8.696,17.900,90.000,5.000,0.013,226.000,0.000,4.810
54.300,0.493,7.380,6.376,23.100,4.540,19.600,0.000,5.000,0.182,287.000,0.000,6.870
52.500,0.489,10.590,6.326,24.400,4.355,18.600,0.000,4.000,0.230,277.000,0.000,10.970
41.500,0.499,5.960,5.850,21.000,3.934,19.200,0.000,5.000,0.080,279.000,0.000,8.770
48.000,0.449,4.490,6.389,23.900,4.779,18.500,0.000,3.000,0.051,247.000,0.000,9.620
65.400,0.655,18.100,6.209,21.400,2.963,20.200,0.000,24.000,7.839,666.000,0.000,13.220
86.900,0.647,3.970,8.704,50.000,1.801,13.000,20.000,5.000,0.611,264.000,0.000,5.120
